Model,Accuracy,Balanced Accuracy,F1 Score,Time Taken,Status
DummyClassifier,0.01756440281030445,0.013513513513513514,0.0006063660348781742,0.008705377578735352,Success
BernoulliNB,0.01756440281030445,0.013513513513513514,0.0006177398409251271,0.5886247158050537,Success
GaussianNB,0.10187353629976581,0.0912067662067662,0.07325409569050936,0.4129042625427246,Success
NearestCentroid,0.10772833723653395,0.09850003600003601,0.07868013745002053,0.07107234001159668,Success
Perceptron,0.06674473067915691,0.05623798123798124,0.04994681526948964,9.759784460067749,Success
LogisticRegression,0.08079625292740047,0.07057754557754557,0.08132743963563341,42.820491552352905,Success
RidgeClassifier,0.08079625292740047,0.06905204405204404,0.06888901798357677,0.2041492462158203,Success
RidgeClassifierCV,0.08079625292740047,0.06905204405204404,0.06888901798357677,1.3124384880065918,Success
PassiveAggressiveClassifier,0.08548009367681499,0.07399469899469899,0.08187368463077478,19.177035808563232,Success
SGDClassifier,0.0702576112412178,0.059093384093384084,0.05988876790476663,14.114840030670166,Success
LinearDiscriminantAnalysis,0.07494145199063232,0.06507126507126507,0.07128665156277393,2.211075782775879,Success
LinearSVC,0.06557377049180328,0.05714143214143214,0.06671506709459608,78.39451169967651,Success
QuadraticDiscriminantAnalysis,0.01405152224824356,0.013768438768438768,0.014289964624539034,2.264116048812866,Success
DecisionTreeClassifier,0.05035128805620609,0.043655556155556156,0.05033343429071232,10.576963186264038,Success
ExtraTreeClassifier,0.05269320843091335,0.04466231966231966,0.05103710749965126,0.05873441696166992,Success
KNeighborsClassifier,0.07259953161592506,0.059257409257409244,0.05529699263895375,0.2904951572418213,Success
RandomForestClassifier,0.12646370023419204,0.10506025506025506,0.10174522073236551,2.740356683731079,Success
ExtraTreesClassifier,0.12060889929742388,0.10303109053109054,0.10064372556137055,0.7454390525817871,Success
AdaBoostClassifier,0.03747072599531616,0.03132205632205632,0.00988110194703662,15.869775772094727,Success
BaggingClassifier,0.07142857142857142,0.06067498567498568,0.06926454574388201,15.32961392402649,Success
GradientBoostingClassifier,,,,900.0,Timeout
CalibratedClassifierCV,0.09133489461358314,0.07849177849177848,0.06084218978551572,108.70863127708435,Success
